gene,disease,module_id,module_degree,global_degree,module_size,mod_deg_norm,label
RNPS1,AD,16,4,433,129,0.031007751937984496,0
RNPS1,AD,17,5,433,175,0.02857142857142857,0
RNPS1,AD,18,4,433,96,0.041666666666666664,0
RNPS1,AD,19,3,433,112,0.026785714285714284,0
RNPS1,AD,20,12,433,213,0.056338028169014086,0
RNPS1,AD,21,10,433,159,0.06289308176100629,0
RNPS1,AD,22,15,433,512,0.029296875,0
RNPS1,AD,23,1,433,91,0.01098901098901099,0
GPR45,AD,0,4,299,194,0.020618556701030927,0
GPR45,AD,1,11,299,216,0.05092592592592592,0
GPR45,AD,2,3,299,109,0.027522935779816515,0
GPR45,AD,3,3,299,195,0.015384615384615385,0
GPR45,AD,4,4,299,233,0.017167381974248927,0
GPR45,AD,5,4,299,160,0.025,0
GPR45,AD,6,2,299,118,0.01694915254237288,0
GPR45,AD,7,13,299,53,0.24528301886792453,0
GPR45,AD,8,4,299,394,0.01015228426395939,0
GPR45,AD,9,5,299,128,0.0390625,0
GPR45,AD,10,6,299,293,0.020477815699658702,0
GPR45,AD,11,1,299,81,0.012345679012345678,0
GPR45,AD,12,2,299,129,0.015503875968992248,0
GPR45,AD,13,4,299,290,0.013793103448275862,0
GPR45,AD,14,1,299,38,0.02631578947368421,0
GPR45,AD,15,11,299,179,0.061452513966480445,0
GPR45,AD,16,2,299,129,0.015503875968992248,0
GPR45,AD,17,2,299,175,0.011428571428571429,0
GPR45,AD,18,2,299,96,0.020833333333333332,0
GPR45,AD,19,2,299,112,0.017857142857142856,0
GPR45,AD,20,4,299,213,0.018779342723004695,0
GPR45,AD,21,6,299,159,0.03773584905660377,0
GPR45,AD,22,12,299,512,0.0234375,0
GPR45,AD,23,0,299,91,0.0,0
MRM1,AD,0,2,357,194,0.010309278350515464,0
MRM1,AD,1,5,357,216,0.023148148148148147,0
MRM1,AD,2,2,357,109,0.01834862385321101,0
MRM1,AD,3,6,357,195,0.03076923076923077,0
MRM1,AD,4,9,357,233,0.03862660944206009,0
MRM1,AD,5,35,357,160,0.21875,0
MRM1,AD,6,0,357,118,0.0,0
MRM1,AD,7,1,357,53,0.018867924528301886,0
MRM1,AD,8,14,357,394,0.03553299492385787,0
MRM1,AD,9,3,357,128,0.0234375,0
MRM1,AD,10,4,357,293,0.013651877133105802,0
MRM1,AD,11,1,357,81,0.012345679012345678,0
MRM1,AD,12,0,357,129,0.0,0
MRM1,AD,13,7,357,290,0.02413793103448276,0
MRM1,AD,14,0,357,38,0.0,0
MRM1,AD,15,5,357,179,0.027932960893854747,0
MRM1,AD,16,4,357,129,0.031007751937984496,0
MRM1,AD,17,2,357,175,0.011428571428571429,0
MRM1,AD,18,3,357,96,0.03125,0
MRM1,AD,19,2,357,112,0.017857142857142856,0
MRM1,AD,20,3,357,213,0.014084507042253521,0
MRM1,AD,21,5,357,159,0.031446540880503145,0
MRM1,AD,22,10,357,512,0.01953125,0
MRM1,AD,23,1,357,91,0.01098901098901099,0
RANGAP1,AD,0,10,344,194,0.05154639175257732,0
RANGAP1,AD,1,14,344,216,0.06481481481481481,0
RANGAP1,AD,2,3,344,109,0.027522935779816515,0
RANGAP1,AD,3,16,344,195,0.08205128205128205,0
RANGAP1,AD,4,13,344,233,0.055793991416309016,0
RANGAP1,AD,5,8,344,160,0.05,0
RANGAP1,AD,6,5,344,118,0.0423728813559322,0
RANGAP1,AD,7,4,344,53,0.07547169811320754,0
RANGAP1,AD,8,16,344,394,0.04060913705583756,0
RANGAP1,AD,9,6,344,128,0.046875,0
RANGAP1,AD,10,20,344,293,0.06825938566552901,0
RANGAP1,AD,11,6,344,81,0.07407407407407407,0
RANGAP1,AD,12,2,344,129,0.015503875968992248,0
RANGAP1,AD,13,5,344,290,0.017241379310344827,0
RANGAP1,AD,14,1,344,38,0.02631578947368421,0
RANGAP1,AD,15,11,344,179,0.061452513966480445,0
RANGAP1,AD,16,1,344,129,0.007751937984496124,0
RANGAP1,AD,17,6,344,175,0.03428571428571429,0
RANGAP1,AD,18,2,344,96,0.020833333333333332,0
RANGAP1,AD,19,4,344,112,0.03571428571428571,0
RANGAP1,AD,20,11,344,213,0.051643192488262914,0
RANGAP1,AD,21,8,344,159,0.050314465408805034,0
RANGAP1,AD,22,17,344,512,0.033203125,0
RANGAP1,AD,23,7,344,91,0.07692307692307693,0
Snd1,AD,0,5,100,194,0.02577319587628866,0
Snd1,AD,1,4,100,216,0.018518518518518517,0
Snd1,AD,2,2,100,109,0.01834862385321101,0
Snd1,AD,3,8,100,195,0.041025641025641026,0
Snd1,AD,4,2,100,233,0.008583690987124463,0
Snd1,AD,5,0,100,160,0.0,0
