disease,species,module_id,human_edge,target_edge
PD,mouse,8,RPL6 - RPS17,Rpl6-Rps17
PD,mouse,8,RPL6 - RPS2,Rpl6-Rps2
PD,mouse,8,RPL6 - RPS20,Rpl6-Rps20
PD,mouse,8,RPL6 - RPS23,Rpl6-Rps23
PD,mouse,8,RPL6 - RPS5,Rpl6-Rps5
PD,mouse,8,RPL6 - RPS6,Rpl6-Rps6
PD,mouse,8,RPL6 - RPS7,Rpl6-Rps7
PD,mouse,8,RPL6 - RPSA,Rpl6-Rpsa
PD,mouse,8,RPL6 - STAU1,Rpl6-Stau1
PD,mouse,8,RPL10 - RPS8,Rpl10-Rps8
PD,mouse,8,RPL10 - RPL14,Rpl10-Rpl14
PD,mouse,8,RPS5 - RPS8,Rps5-Rps8
PD,mouse,8,RPS5 - RPL14,Rps5-Rpl14
PD,mouse,8,RPS5 - RPL23A,Rps5-Rpl23a
PD,mouse,8,RPL14 - RPS8,Rpl14-Rps8
PD,mouse,8,RPL14 - RPL10A,Rpl14-Rpl10a
PD,mouse,8,RPL14 - RPL11,Rpl14-Rpl11
PD,mouse,8,RPL14 - RPL12,Rpl14-Rpl12
PD,mouse,8,RPL14 - RPL13,Rpl14-Rpl13
PD,mouse,8,RPL14 - RPL13A,Rpl14-Rpl13a
PD,mouse,8,RPL14 - RPL15,Rpl14-Rpl15
PD,mouse,8,RPL14 - RPL18A,Rpl14-Rpl18a
PD,mouse,8,RPL14 - RPL19,Rpl14-Rpl19
PD,mouse,8,RPL14 - RPL22,Rpl14-Rpl22
PD,mouse,8,RPL14 - RPL23,Rpl14-Rpl23
PD,mouse,8,RPL14 - RPL23A,Rpl14-Rpl23a
PD,mouse,8,RPL14 - RPL27,Rpl14-Rpl27
PD,mouse,8,RPL14 - RPL27A,Rpl14-Rpl27a
PD,mouse,8,RPL14 - RPL28,Rpl14-Rpl28
PD,mouse,8,RPL14 - RPL3,Rpl14-Rpl3
PD,mouse,8,RPL14 - RPL32,Rpl14-Rpl32
PD,mouse,8,RPL14 - RPL35,Rpl14-Rpl35
PD,mouse,8,RPL14 - RPL35A,Rpl14-Rpl35a
PD,mouse,8,RPL14 - RPL38,Rpl14-Rpl38
PD,mouse,8,RPL14 - RPL4,Rpl14-Rpl4
PD,mouse,8,RPL14 - RPL5,Rpl14-Rpl5
PD,mouse,8,RPL14 - RPL7A,Rpl14-Rpl7a
PD,mouse,8,RPL14 - RPL8,Rpl14-Rpl8
PD,mouse,8,RPL14 - RPLP1,Rpl14-Rplp1
PD,mouse,8,RPL14 - RPS13,Rpl14-Rps13
PD,mouse,8,RPL14 - RPS14,Rpl14-Rps14
PD,mouse,8,RPL14 - RPS15A,Rpl14-Rps15a
PD,mouse,8,RPL14 - RPS16,Rpl14-Rps16
PD,mouse,8,RPL14 - RPS17,Rpl14-Rps17
PD,mouse,8,RPL14 - RPS18,Rpl14-Rps18
PD,mouse,8,RPL14 - RPS2,Rpl14-Rps2
PD,mouse,8,RPL14 - RPS20,Rpl14-Rps20
PD,mouse,8,RPL14 - RPS23,Rpl14-Rps23
PD,mouse,8,RPL14 - RPS6,Rpl14-Rps6
PD,mouse,8,RPL14 - RPS7,Rpl14-Rps7
PD,mouse,8,RPL14 - RPSA,Rpl14-Rpsa
PD,mouse,8,RPL12 - RPS8,Rpl12-Rps8
PD,mouse,8,RPL12 - RPL23A,Rpl12-Rpl23a
PD,mouse,8,RPL7A - RPS8,Rpl7a-Rps8
PD,mouse,8,RPL7A - RPL23A,Rpl7a-Rpl23a
PD,mouse,8,RPS7 - RPS8,Rps7-Rps8
PD,mouse,8,RPS7 - RPL23A,Rps7-Rpl23a
PD,mouse,8,RPS8 - HNRNPU,Rps8-Hnrnpu
PD,mouse,8,RPS8 - ILF3,Rps8-Ilf3
PD,mouse,8,RPS8 - LARP1,Rps8-Larp1
PD,mouse,8,RPS8 - NCL,Rps8-Ncl
PD,mouse,8,RPS8 - RPL11,Rps8-Rpl11
PD,mouse,8,RPS8 - RPL13,Rps8-Rpl13
PD,mouse,8,RPS8 - RPL15,Rps8-Rpl15
PD,mouse,8,RPS8 - RPL18A,Rps8-Rpl18a
PD,mouse,8,RPS8 - RPL19,Rps8-Rpl19
PD,mouse,8,RPS8 - RPL22,Rps8-Rpl22
PD,mouse,8,RPS8 - RPL23,Rps8-Rpl23
PD,mouse,8,RPS8 - RPL23A,Rps8-Rpl23a
PD,mouse,8,RPS8 - RPL26,Rps8-Rpl26
PD,mouse,8,RPS8 - RPL27A,Rps8-Rpl27a
PD,mouse,8,RPS8 - RPL32,Rps8-Rpl32
PD,mouse,8,RPS8 - RPL35,Rps8-Rpl35
PD,mouse,8,RPS8 - RPL4,Rps8-Rpl4
PD,mouse,8,RPS8 - RPL5,Rps8-Rpl5
PD,mouse,8,RPS8 - RPL8,Rps8-Rpl8
PD,mouse,8,RPS8 - RPS13,Rps8-Rps13
PD,mouse,8,RPS8 - RPS14,Rps8-Rps14
PD,mouse,8,RPS8 - RPS15,Rps8-Rps15
PD,mouse,8,RPS8 - RPS15A,Rps8-Rps15a
PD,mouse,8,RPS8 - RPS16,Rps8-Rps16
PD,mouse,8,RPS8 - RPS17,Rps8-Rps17
PD,mouse,8,RPS8 - RPS18,Rps8-Rps18
PD,mouse,8,RPS8 - RPS2,Rps8-Rps2
PD,mouse,8,RPS8 - RPS20,Rps8-Rps20
PD,mouse,8,RPS8 - RPS21,Rps8-Rps21
PD,mouse,8,RPS8 - RPS23,Rps8-Rps23
PD,mouse,8,RPS8 - RPS28,Rps8-Rps28
PD,mouse,8,RPS8 - RPS6,Rps8-Rps6
PD,mouse,8,RPS8 - RPSA,Rps8-Rpsa
PD,mouse,8,RPS8 - STAU1,Rps8-Stau1
PD,mouse,8,RPSA - RPL23A,Rpsa-Rpl23a
PD,mouse,8,RPL38 - RPL23A,Rpl38-Rpl23a
PD,mouse,8,RPS14 - RPL23A,Rps14-Rpl23a
PD,mouse,8,RPL27 - RPL23A,Rpl27-Rpl23a
PD,mouse,8,RPS13 - RPL23A,Rps13-Rpl23a
PD,mouse,8,RPL22 - RPL23A,Rpl22-Rpl23a
PD,mouse,8,RPS16 - RPL23A,Rps16-Rpl23a
PD,mouse,8,RPL11 - RPL23A,Rpl11-Rpl23a
PD,mouse,8,RPL35 - RPL23A,Rpl35-Rpl23a
PD,mouse,8,RPL10A - RPL23A,Rpl10a-Rpl23a
PD,mouse,8,RPL4 - RPL23A,Rpl4-Rpl23a
PD,mouse,8,ADAR - EIF2AK2,Adar-Eif2ak2
PD,mouse,8,RPL8 - RPL23A,Rpl8-Rpl23a
PD,mouse,8,RPL18A - RPL23A,Rpl18a-Rpl23a
PD,mouse,8,RPL23 - RPL23A,Rpl23-Rpl23a
PD,mouse,8,RPL23A - RPL13,Rpl23a-Rpl13
PD,mouse,8,RPL23A - RPL15,Rpl23a-Rpl15
PD,mouse,8,RPL23A - RPL19,Rpl23a-Rpl19
PD,mouse,8,RPL23A - RPL3,Rpl23a-Rpl3
PD,mouse,8,RPL23A - RPL32,Rpl23a-Rpl32
PD,mouse,8,RPL23A - RPL5,Rpl23a-Rpl5
PD,mouse,8,RPL23A - RPS15,Rpl23a-Rps15
PD,mouse,8,RPL23A - RPS17,Rpl23a-Rps17
PD,mouse,8,RPL23A - RPS2,Rpl23a-Rps2
PD,mouse,8,RPL23A - RPS20,Rpl23a-Rps20
PD,mouse,8,RPL23A - RPS23,Rpl23a-Rps23
PD,mouse,8,RPL23A - YBX1,Rpl23a-Ybx1
PD,mouse,9,SNX1 - VPS35,Snx1-Vps35
PD,mouse,9,TBC1D5 - VPS35,Tbc1d5-Vps35
PD,mouse,9,SNX3 - VPS35,Snx3-Vps35
PD,mouse,9,SNX2 - VPS35,Snx2-Vps35
PD,mouse,9,SNX6 - VPS35,Snx6-Vps35
PD,mouse,9,VPS35 - ANKFY1,Vps35-Ankfy1
PD,mouse,9,VPS35 - VPS26B,Vps35-Vps26b
PD,mouse,10,FGF1 - HSPA9,Fgf1-Hspa9
PD,mouse,10,ITPR3 - HSPA9,Itpr3-Hspa9
PD,mouse,10,ITPR3 - PARK7,Itpr3-Park7
PD,mouse,10,PRDX6 - GSTP1,Prdx6-Gstp1
PD,mouse,10,NQO1 - BAG3,Nqo1-Bag3
PD,mouse,10,HSPA9 - BRAF,Hspa9-Braf
PD,mouse,10,HSPA9 - DNAJA3,Hspa9-Dnaja3
PD,mouse,10,HSPA9 - GRPEL1,Hspa9-Grpel1
PD,mouse,10,HSPA9 - HSPD1,Hspa9-Hspd1
PD,mouse,10,HSPA9 - MVD,Hspa9-Mvd
PD,mouse,10,HSPA9 - PARK7,Hspa9-Park7
PD,mouse,10,HSPA9 - SDHA,Hspa9-Sdha
PD,mouse,10,HSPA9 - TIMM44,Hspa9-Timm44
PD,mouse,10,HSPA9 - TRAP1,Hspa9-Trap1
PD,mouse,10,HSPA9 - UBXN2A,Hspa9-Ubxn2a
PD,mouse,10,SOD1 - PARK7,Sod1-Park7
PD,mouse,10,ENO2 - ENO3,Eno2-Eno3
PD,mouse,10,GSTO1 - BAG3,Gsto1-Bag3
PD,mouse,10,FANCC - GSTP1,Fancc-Gstp1
PD,mouse,10,GSTP1 - MAPK8,Gstp2-Mapk8
PD,mouse,12,PAWR - DRD2,Pawr-Drd2
PD,mouse,12,PDLIM1 - GFAP,Pdlim1-Gfap
PD,mouse,12,MAPK8IP3 - MAP3K5,Mapk8ip3-Map3k5
PD,mouse,12,TXN - MAP3K5,Txn1-Map3k5
PD,mouse,12,GSTM1 - MAP3K5,Gstm1-Map3k5
PD,mouse,12,VIM - GFAP,Vim-Gfap
PD,mouse,12,FBXW11 - MAP3K5,Fbxw11-Map3k5
PD,mouse,12,MAP3K5 - APP,Map3k5-App
PD,mouse,12,MAP3K5 - GEMIN5,Map3k5-Gemin5
PD,mouse,12,MAP3K5 - RB1CC1,Map3k5-Rb1cc1
PD,mouse,12,APP - GFAP,App-Gfap
PD,mouse,13,TNK2 - CLTC,Tnk2-Cltc
PD,mouse,13,TNK2 - LCP2,Tnk2-Lcp2
PD,mouse,13,TNK2 - NCK1,Tnk2-Nck1
PD,mouse,13,SH3GL2 - SYNJ1,Sh3gl2-Synj1
PD,mouse,13,AP2A1 - SYNJ1,Ap2a1-Synj1
PD,mouse,13,MAG - PRNP,Mag-Prnp
PD,mouse,13,NGF - NGFR,Ngf-Ngfr
PD,mouse,13,ERC2 - BSN,Erc2-Bsn
PD,mouse,13,CLTC - DNAJC6,Cltc-Dnajc6
PD,mouse,14,DDX5 - TARDBP,Ddx5-Tardbp
PD,mouse,14,DDX3X - TARDBP,Ddx3x-Tardbp
PD,mouse,14,UBQLN2 - HSPA1A,Ubqln2-Hspa1b
PD,mouse,14,HNRNPUL1 - TARDBP,Hnrnpul1-Tardbp
PD,mouse,14,APMAP - HSPA1A,Apmap-Hspa1a
PD,mouse,14,CELF1 - TARDBP,Celf1-Tardbp
PD,mouse,14,NACC1 - TARDBP,Nacc1-Tardbp
PD,mouse,14,DNAJA4 - HSPA1A,Dnaja4-Hspa1a
PD,mouse,14,DDX17 - TARDBP,Ddx17-Tardbp
PD,mouse,14,SORD - TALDO1,Sord-Taldo1
PD,mouse,14,TARDBP - FUS,Tardbp-Fus
PD,mouse,14,TARDBP - ILF2,Tardbp-Ilf2
PD,mouse,15,JUN - CREB1,Jun-Creb1
PD,mouse,15,CREB1 - CRTC1,Creb1-Crtc1
PD,mouse,17,INSR - IGF1R,Insr-Igf1r
PD,mouse,17,INSR - INSRR,Insr-Insrr
PD,mouse,17,INSR - IRS1,Insr-Irs1
PD,mouse,17,INSR - SH2B2,Insr-Sh2b2
PD,mouse,17,INSR - SOCS3,Insr-Socs3
PD,mouse,17,IRS1 - IGF1R,Irs1-Igf1r
PD,mouse,17,PLXNA1 - NRP1,Plxna1-Nrp1
PD,mouse,17,SMC2 - NCAPG2,Smc2-Ncapg2
PD,mouse,18,RPS6KA1 - MAPK1,Rps6ka1-Mapk1
PD,mouse,18,ATF2 - MAPK1,Atf2-Mapk1
PD,mouse,18,CENPE - MAPK1,Cenpe-Mapk1
PD,mouse,18,PEA15 - MAPK1,Pea15a-Mapk1
PD,mouse,18,PEA15 - MAPK3,Pea15a-Mapk3
PD,mouse,18,RPS6KA3 - MAPK1,Rps6ka3-Mapk1
PD,mouse,18,RPS6KA3 - MAPK3,Rps6ka3-Mapk3
PD,mouse,18,MAP2K2 - MAPK1,Map2k2-Mapk1
PD,mouse,18,MAP2K2 - MAPK3,Map2k2-Mapk3
PD,mouse,18,PTPN5 - MAPK1,Ptpn5-Mapk1
PD,mouse,18,ELK1 - MAPK1,Elk1-Mapk1
PD,mouse,18,ELK1 - MAPK3,Elk1-Mapk3
PD,mouse,18,DHPS - MAPK1,Dhps-Mapk1
PD,mouse,18,RPS6KA2 - MAPK1,Rps6ka2-Mapk1
PD,mouse,18,LAMTOR3 - MAPK1,Lamtor3-Mapk1
PD,mouse,18,NEDD4L - FBP1,Nedd4l-Fbp1
PD,mouse,18,ARHGEF2 - MAPK1,Arhgef2-Mapk1
PD,mouse,18,Ksr1 - MAPK1,Ksr1-Mapk1
PD,mouse,18,MAPK3 - MAPK1,Mapk3-Mapk1
PD,mouse,18,DUSP2 - MAPK1,Dusp2-Mapk1
PD,mouse,18,MAPK1 - PXN,Mapk1-Pxn
PD,mouse,18,MAPK1 - TOP2A,Mapk1-Top2a
PD,mouse,21,RAB3A - SNCA,Rab3a-Snca
PD,mouse,21,Syp - SNCA,Syp-Snca
PD,mouse,21,SLC6A3 - SNCA,Slc6a3-Snca
PD,mouse,21,SLC6A3 - STX1A,Slc6a3-Stx1a
PD,mouse,21,PPP1CC - MAPT,Ppp1cc-Mapt
PD,mouse,21,PPP1CA - MAPT,Ppp1ca-Mapt
PD,mouse,21,SLC25A4 - MAPT,Slc25a4-Mapt
PD,mouse,21,ARSA - SNCA,Arsa-Snca
PD,mouse,21,NEFL - MAP2,Nefl-Map2
PD,mouse,21,NUB1 - MAPT,Nub1-Mapt
PD,mouse,21,PPIB - MAPT,Ppib-Mapt
PD,mouse,21,BDH2 - SNCA,Bdh2-Snca
PD,mouse,21,UBA52 - SNCA,Uba52-Snca
PD,mouse,21,TUBA1A - MAPT,Tuba1a-Mapt
PD,mouse,21,TUBA1B - MAPT,Tuba1b-Mapt
PD,mouse,21,TRIM11 - MAPT,Trim11-Mapt
PD,mouse,21,SNAP91 - MAPT,Snap91-Mapt
PD,mouse,21,UBA1 - MAPT,Uba1-Mapt
PD,mouse,21,ATAD1 - SNCA,Atad1-Snca
PD,mouse,21,TUBB3 - MAPT,Tubb3-Mapt
PD,mouse,21,VAMP2 - SNCA,Vamp2-Snca
PD,mouse,21,MAP2 - SNCA,Map2-Snca
PD,mouse,21,MAP2 - DAG1,Map2-Dag1
PD,mouse,21,MAP2 - NEDD4,Map2-Nedd4
PD,mouse,21,GSK3A - MAPT,Gsk3a-Mapt
PD,mouse,21,PDHB - MAPT,Pdhb-Mapt
PD,mouse,21,NAPB - MAPT,Napb-Mapt
PD,mouse,21,PRKACA - MAPT,Prkaca-Mapt
PD,mouse,21,ARF4 - MAPT,Arf4-Mapt
PD,mouse,21,TIA1 - MAPT,Tia1-Mapt
PD,mouse,21,PPP2CA - MAPT,Ppp2ca-Mapt
PD,mouse,21,SNCA - NEDD4,Snca-Nedd4
PD,mouse,21,SNCA - SNCB,Snca-Sncb
PD,mouse,21,SNCA - SYN1,Snca-Syn1
PD,mouse,21,SNCA - SNCA,Snca-Snca
PD,mouse,21,GPI - MAPT,Gpi1-Mapt
PD,mouse,21,MAPT - OXCT1,Mapt-Oxct1
PD,mouse,21,MAPT - PIN1,Mapt-Pin1
PD,mouse,21,MAPT - SLC1A2,Mapt-Slc1a2
PD,mouse,21,MAPT - USP5,Mapt-Usp5
PD,mouse,21,SNCAIP - KALRN,Sncaip-Kalrn
PD,yeast,1,UCHL1 - UBB,YUH1-UBI4
PD,yeast,3,TSSK1B - HSPA8,KIN2-SSE2; KIN2-SSE1; FRK1-SSE2
PD,yeast,3,HSPA8 - DNAJA2,SSE2-YDJ1; SSE1-YDJ1
PD,yeast,3,HSPA8 - G6PD,SSE2-ZWF1
PD,yeast,3,HSPA8 - HSPA2,SSE2-SSB2; SSE2-SSB1; SSE1-SSB2; SSE1-SSB1
PD,yeast,3,HSPA8 - PSMD4,SSE1-RPN10
PD,yeast,3,HSPA8 - PSMD6,SSE1-RPN7
PD,yeast,3,HSPA8 - RUVBL2,SSE1-RVB2
PD,yeast,3,HSPA8 - WDR6,SSE1-RTT10
PD,yeast,8,DRG1 - RPL6,RBG1-RPL6A
PD,yeast,8,DDX27 - RPS8,DRS1-RPS8A
PD,yeast,8,DDX27 - RPL14,DRS1-RPL14A
PD,yeast,8,RPS11 - RPS8,RPS11A-RPS8B; RPS11A-RPS8A
PD,yeast,8,RPLP2 - RPL14,RPP2A-RPL14B; RPP2A-RPL14A; RPP2B-RPL14B; RPP2B-RPL14A
PD,yeast,8,RPLP2 - RPL6,RPP2A-RPL6B; RPP2A-RPL6A; RPP2B-RPL6B; RPP2B-RPL6A
PD,yeast,8,RPS9 - RPS8,RPS9A-RPS8A; RPS9B-RPS8B; RPS9B-RPS8A
PD,yeast,8,RPS9 - RPL14,RPS9A-RPL14A
PD,yeast,8,RPS9 - RPL6,RPS9A-RPL6A
PD,yeast,8,RPL6 - RPS8,RPL6A-RPS8A
PD,yeast,8,RPL6 - RPL14,RPL6B-RPL14A; RPL6A-RPL14A
PD,yeast,8,RPL6 - CNBP,RPL6B-GIS2; RPL6A-GIS2
PD,yeast,8,RPL6 - DDX24,RPL6A-MAK5
PD,yeast,8,RPL6 - G3BP1,RPL6B-BRE5; RPL6A-BRE5
PD,yeast,8,RPL6 - KRR1,RPL6B-KRR1; RPL6A-KRR1
PD,yeast,8,RPL6 - NFX1,RPL6A-FAP1
PD,yeast,8,RPL6 - NOP2,RPL6B-NOP2
PD,yeast,8,RPL6 - RPL10,RPL6B-RPL10; RPL6A-RPL10
PD,yeast,8,RPL6 - RPL12,RPL6B-RPL12B; RPL6B-RPL12A; RPL6A-RPL12B; RPL6A-RPL12A
PD,yeast,8,RPL6 - RPL13,RPL6B-RPL13B; RPL6A-RPL13B
PD,yeast,8,RPL6 - RPL15,RPL6B-RPL15A; RPL6A-RPL15B; RPL6A-RPL15A
PD,yeast,8,RPL6 - RPL17,RPL6B-RPL17A; RPL6A-RPL17B; RPL6A-RPL17A
PD,yeast,8,RPL6 - RPL18,RPL6B-RPL18A; RPL6A-RPL18A
PD,yeast,8,RPL6 - RPL18A,RPL6B-RPL20A; RPL6A-RPL20A
PD,yeast,8,RPL6 - RPL19,RPL6B-RPL19A; RPL6B-RPL19B; RPL6A-RPL19A
PD,yeast,8,RPL6 - RPL21,RPL6B-RPL21A; RPL6A-RPL21A
PD,yeast,8,RPL6 - RPL23,RPL6A-RPL23A
PD,yeast,8,RPL6 - RPL24,RPL6B-RPL24B; RPL6B-RPL24A; RPL6A-RPL24B; RPL6A-RPL24A
PD,yeast,8,RPL6 - RPL26L1,RPL6B-RPL26B; RPL6B-RPL26A; RPL6A-RPL26B; RPL6A-RPL26A
PD,yeast,8,RPL6 - RPL27,RPL6B-RPL27A; RPL6A-RPL27A
PD,yeast,8,RPL6 - RPL27A,RPL6B-RPL28; RPL6A-RPL28
PD,yeast,8,RPL6 - RPL3,RPL6B-RPL3; RPL6A-RPL3
PD,yeast,8,RPL6 - RPL30,RPL6B-RPL30; RPL6A-RPL30
PD,yeast,8,RPL6 - RPL31,RPL6B-RPL31A; RPL6A-RPL31A
PD,yeast,8,RPL6 - RPL35A,RPL6B-RPL33A; RPL6A-RPL33A
PD,yeast,8,RPL6 - RPL38,RPL6B-RPL38; RPL6A-RPL38
PD,yeast,8,RPL6 - RPL3L,RPL6B-RPL3; RPL6A-RPL3
PD,yeast,8,RPL6 - RPL4,RPL6B-RPL4A; RPL6A-RPL4A
PD,yeast,8,RPL6 - RPL5,RPL6B-RPL5; RPL6A-RPL5
PD,yeast,8,RPL6 - RPL7,RPL6B-RPL7A; RPL6A-RPL7A
PD,yeast,8,RPL6 - RPL7A,RPL6B-RPL8A; RPL6B-RPL8B; RPL6A-RPL8A; RPL6A-RPL8B
PD,yeast,8,RPL6 - RPL8,RPL6B-RPL2A; RPL6A-RPL2A
PD,yeast,8,RPL6 - RPL9,RPL6B-RPL9A; RPL6A-RPL9A
PD,yeast,8,RPL6 - RPLP0,RPL6B-RPP0; RPL6A-RPP0
PD,yeast,8,RPL6 - RPLP1,RPL6B-RPP2A; RPL6B-RPP2B; RPL6B-RPP1A; RPL6A-RPP2A; RPL6A-RPP2B; RPL6A-RPP1A
PD,yeast,8,RPL6 - RPS12,RPL6A-RPS12
PD,yeast,8,RPL6 - RPS13,RPL6A-RPS13
PD,yeast,8,RPL6 - RPS14,RPL6A-RPS14A
PD,yeast,8,RPL6 - RPS15A,RPL6A-RPS22A
PD,yeast,8,RPL6 - RPS17,RPL6A-RPS17A
PD,yeast,8,RPL6 - RPS2,RPL6A-RPS2
PD,yeast,8,RPL6 - RPS20,RPL6A-RPS20
PD,yeast,8,RPL6 - RPS3,RPL6A-RPS3
PD,yeast,8,RPL6 - RPS6,RPL6A-RPS6A
PD,yeast,8,RPL6 - RPS7,RPL6A-RPS7A
PD,yeast,8,RPL6 - RPSA,RPL6A-RPS0A
PD,yeast,8,RPL6 - RSL1D1,RPL6B-RPL8A; RPL6B-RPL8B; RPL6A-RPL8A; RPL6A-RPL8B
PD,yeast,8,RIOK1 - RPS8,RIO1-RPS8B; RIO1-RPS8A
PD,yeast,8,RPL10 - RPS8,RPL10-RPS8A
PD,yeast,8,RPL10 - RPL14,RPL10-RPL14B; RPL10-RPL14A
PD,yeast,8,RPS5 - RPS8,RPS5-RPS8B; RPS5-RPS8A
PD,yeast,8,EEF1A1 - RPS8,GCD11-RPS8A
PD,yeast,8,RPL14 - RPS8,RPL14A-RPS8A
PD,yeast,8,RPL14 - CNBP,RPL14B-GIS2; RPL14A-GIS2
PD,yeast,8,RPL14 - DDX54,RPL14B-DBP10; RPL14A-DBP10
PD,yeast,8,RPL14 - GNL2,RPL14A-NOG2
PD,yeast,8,RPL14 - NOL12,RPL14B-RRP17
PD,yeast,8,RPL14 - NOP2,RPL14B-NOP2
PD,yeast,8,RPL14 - RPF1,RPL14A-RPF1
PD,yeast,8,RPL14 - RPF2,RPL14B-RPF2; RPL14A-RPF2
PD,yeast,8,RPL14 - RPL12,RPL14B-RPL12A; RPL14A-RPL12A
PD,yeast,8,RPL14 - RPL13,RPL14A-RPL13A; RPL14A-RPL13B
PD,yeast,8,RPL14 - RPL13A,RPL14B-RPL16A; RPL14B-RPL16B; RPL14A-RPL16A; RPL14A-RPL16B
PD,yeast,8,RPL14 - RPL15,RPL14B-RPL15A; RPL14A-RPL15A
PD,yeast,8,RPL14 - RPL17,RPL14B-RPL17B; RPL14B-RPL17A; RPL14A-RPL17B; RPL14A-RPL17A
PD,yeast,8,RPL14 - RPL18,RPL14B-RPL18A; RPL14A-RPL18A; RPL14A-RPL18B
PD,yeast,8,RPL14 - RPL18A,RPL14B-RPL20A; RPL14A-RPL20A
PD,yeast,8,RPL14 - RPL19,RPL14B-RPL19A; RPL14B-RPL19B; RPL14A-RPL19A; RPL14A-RPL19B
PD,yeast,8,RPL14 - RPL21,RPL14B-RPL21A; RPL14B-RPL21B; RPL14A-RPL21A; RPL14A-RPL21B
PD,yeast,8,RPL14 - RPL24,RPL14B-RPL24B; RPL14A-RPL24B; RPL14A-RPL24A
PD,yeast,8,RPL14 - RPL26L1,RPL14B-RPL26B; RPL14A-RPL26B; RPL14A-RPL26A
PD,yeast,8,RPL14 - RPL27,RPL14B-RPL27A; RPL14A-RPL27B; RPL14A-RPL27A
PD,yeast,8,RPL14 - RPL3,RPL14B-RPL3; RPL14A-RPL3
PD,yeast,8,RPL14 - RPL30,RPL14A-RPL30
PD,yeast,8,RPL14 - RPL31,RPL14B-RPL31B; RPL14A-RPL31A; RPL14A-RPL31B
PD,yeast,8,RPL14 - RPL32,RPL14B-RPL32; RPL14A-RPL32
PD,yeast,8,RPL14 - RPL35A,RPL14B-RPL33A; RPL14A-RPL33A
PD,yeast,8,RPL14 - RPL38,RPL14A-RPL38
PD,yeast,8,RPL14 - RPL4,RPL14B-RPL4A; RPL14A-RPL4B; RPL14A-RPL4A
PD,yeast,8,RPL14 - RPL5,RPL14B-RPL5; RPL14A-RPL5
PD,yeast,8,RPL14 - RPL7,RPL14B-RPL7A; RPL14A-RPL7A; RPL14A-RPL7B
PD,yeast,8,RPL14 - RPL7A,RPL14B-RPL8A; RPL14B-RPL8B; RPL14A-RPL8A; RPL14A-RPL8B
PD,yeast,8,RPL14 - RPL8,RPL14B-RPL2A; RPL14A-RPL2A
PD,yeast,8,RPL14 - RPL9,RPL14B-RPL9A; RPL14A-RPL9A
PD,yeast,8,RPL14 - RPLP0,RPL14B-RPP0; RPL14A-RPP0
PD,yeast,8,RPL14 - RPLP1,RPL14B-RPP2A; RPL14B-RPP2B; RPL14B-RPP1A; RPL14A-RPP2A; RPL14A-RPP2B; RPL14A-RPP1A
PD,yeast,8,RPL14 - RPS12,RPL14A-RPS12
PD,yeast,8,RPL14 - RPS13,RPL14A-RPS13
PD,yeast,8,RPL14 - RPS14,RPL14A-RPS14A
PD,yeast,8,RPL14 - RPS15A,RPL14A-RPS22A
PD,yeast,8,RPL14 - RPS17,RPL14A-RPS17A
PD,yeast,8,RPL14 - RPS18,RPL14A-RPS18A
PD,yeast,8,RPL14 - RPS2,RPL14A-RPS2
PD,yeast,8,RPL14 - RPS20,RPL14A-RPS20
PD,yeast,8,RPL14 - RPS26,RPL14A-RPS26B
PD,yeast,8,RPL14 - RPS3,RPL14A-RPS3
PD,yeast,8,RPL14 - RPS6,RPL14A-RPS6A
PD,yeast,8,RPL14 - RPS7,RPL14A-RPS7A
PD,yeast,8,RPL14 - RPSA,RPL14A-RPS0A
PD,yeast,8,RRS1 - RPS8,RRS1-RPS8A
PD,yeast,8,RPL12 - RPS8,RPL12A-RPS8A
PD,yeast,8,RPL18 - RPS8,RPL18A-RPS8A
PD,yeast,8,RPL17 - RPS8,RPL17A-RPS8A
PD,yeast,8,MRPL10 - RPS8,MRPL11-RPS8A
PD,yeast,8,RPL7A - RPS8,RPL8A-RPS8A
PD,yeast,8,RPL30 - RPS8,RPL30-RPS8A
PD,yeast,8,UTP23 - RPS8,UTP23-RPS8A
PD,yeast,8,RPS29 - RPS8,RPS29A-RPS8B; RPS29A-RPS8A; RPS29B-RPS8A
PD,yeast,8,RPS4X - RPS8,RPS4A-RPS8B; RPS4A-RPS8A; RPS4B-RPS8A
PD,yeast,8,RPS7 - RPS8,RPS7A-RPS8B; RPS7A-RPS8A; RPS7B-RPS8B; RPS7B-RPS8A
PD,yeast,8,MRPL3 - RPS8,MRPL9-RPS8A
PD,yeast,8,RPS8 - CNBP,RPS8B-GIS2; RPS8A-GIS2
PD,yeast,8,RPS8 - DAP3,RPS8A-RSM23
PD,yeast,8,RPS8 - DKC1,RPS8A-CBF5
PD,yeast,8,RPS8 - EBNA1BP2,RPS8A-EBP2
PD,yeast,8,RPS8 - G3BP1,RPS8B-BRE5; RPS8A-BRE5
PD,yeast,8,RPS8 - KRR1,RPS8B-KRR1; RPS8A-KRR1
PD,yeast,8,RPS8 - MRPL17,RPS8A-MRPL8
PD,yeast,8,RPS8 - MRPL2,RPS8A-RML2
PD,yeast,8,RPS8 - MRPL23,RPS8A-MRP20
PD,yeast,8,RPS8 - MRPL28,RPS8A-MRPL24
PD,yeast,8,RPS8 - MRPL46,RPS8A-MRPL17
