disease,species,module_id,human_gene,ortholog_in_network,degree_in_target
PD,yeast,1,SSB,LHP1,1
PD,yeast,1,YWHAH,BMH2,1
PD,yeast,2,TPT1,TMA19,5
PD,yeast,2,SLC3A2,IMA1,1
PD,yeast,2,SIN3A,SIN3,1
PD,yeast,2,TXNIP,"ALY2, ROD1",1
PD,yeast,2,RPA4,RFA2,1
PD,yeast,2,MNAT1,TFB3,1
PD,yeast,2,RAD50,RAD50,1
PD,yeast,2,CSNK1A1,"YCK1, YCK2, YCK3",4
PD,yeast,2,WDR76,CMR1,7
PD,yeast,2,RRM1,RNR3,1
PD,yeast,2,MYBL2,REB1,1
PD,yeast,2,WRNIP1,MGS1,1
PD,yeast,2,SMARCB1,SNF5,1
PD,yeast,2,PEX5,PEX5,1
PD,yeast,2,MSH2,MSH2,1
PD,yeast,2,EMG1,EMG1,1
PD,yeast,2,PRPS2,"PRS2, PRS3, PRS4",3
PD,yeast,2,POLA1,POL1,2
PD,yeast,2,CCND1,"CLB1, CLB2, CLN1, CLN2",1
PD,yeast,2,RFC3,RFC5,1
PD,yeast,2,HUWE1,TOM1,15
PD,yeast,2,RAD51,RAD51,1
PD,yeast,2,XRCC5,YKU80,1
PD,yeast,2,SUPT16H,SPT16,4
PD,yeast,2,XPC,RAD4,1
PD,yeast,2,RPL7L1,"RPL7A, RPL7B",4
PD,yeast,2,RNF40,BRE1,2
PD,yeast,2,RSF1,ESA1,1
PD,yeast,2,RFC5,RFC3,1
PD,yeast,2,CSNK1G2,"YCK1, YCK2, YCK3",4
PD,yeast,2,CSNK2A2,CKA2,1
PD,yeast,2,SUB1,SUB1,1
PD,yeast,2,RFC2,RFC4,1
PD,yeast,2,NVL,RIX7,1
PD,yeast,2,MSH6,MSH6,1
PD,yeast,2,SUZ12,NPL6,1
PD,yeast,2,GTF2F1,TFG1,1
PD,yeast,2,IPO4,KAP123,3
PD,yeast,2,SENP3,ULP1,2
PD,yeast,2,SUPT5H,SPT5,2
PD,yeast,2,SURF4,ERV29,5
PD,yeast,2,MCM4,MCM4,2
PD,yeast,2,FBL,NOP1,2
PD,yeast,2,RANBP9,VID30,8
PD,yeast,2,PDS5A,PDS5,5
PD,yeast,2,CTR9,CTR9,3
PD,yeast,2,RRP8,RRP8,1
PD,yeast,2,RPA1,RFA1,2
PD,yeast,2,RFC4,RFC2,1
PD,yeast,2,MCM2,MCM2,1
PD,yeast,2,TRIP12,UFD4,1
PD,yeast,2,MAD2L2,MAD2,2
PD,yeast,2,ERCC6,RAD26,2
PD,yeast,3,HCFC1,MDS3,1
PD,yeast,3,AIMP1,ARC1,4
PD,yeast,3,NUS1,NUS1,1
PD,yeast,3,LATS2,DBF2,1
PD,yeast,3,WDR6,RTT10,1
PD,yeast,3,MAPRE2,BIM1,1
PD,yeast,3,DNAJB6,HLJ1,1
PD,yeast,3,CKAP5,STU2,1
PD,yeast,3,ABCG2,"AUS1, PDR10, PDR12, PDR15, PDR18, PDR5, SNQ2",3
PD,yeast,3,LMAN1,EMP47,2
PD,yeast,3,DPH2,DPH2,2
PD,yeast,3,TUBB4B,TUB2,1
PD,yeast,3,WDR37,YTM1,2
PD,yeast,3,CYB5R3,PGA3,2
PD,yeast,3,PRKACG,"BCY1, TPK1, TPK2, TPK3",5
PD,yeast,3,DNAJA2,YDJ1,7
PD,yeast,3,COPA,COP1,1
PD,yeast,3,EEF1G,"CAM1, TEF4",140
PD,yeast,3,NUP93,NIC96,1
PD,yeast,3,PFKL,PFK2,1
PD,yeast,3,NAPA,SEC17,1
PD,yeast,3,POLR2B,RPB2,1
PD,yeast,3,PRKAG1,SNF4,1
PD,yeast,3,PRPF8,PRP8,1
PD,yeast,3,G6PD,ZWF1,1
PD,yeast,3,LPGAT1,CST26,1
PD,yeast,3,PSMD6,RPN7,2
PD,yeast,3,SGTA,TOM70,1
PD,yeast,3,PPP2R2A,CDC55,1
PD,yeast,3,MAD2L1,MAD2,2
PD,yeast,3,GOT2,AAT2,1
PD,yeast,3,TSSK1B,"FRK1, KIN2, KKQ8, NPR1, PTK2, VHS1",6
PD,yeast,3,HSPA8,"SSE1, SSE2",219
PD,yeast,3,CCNI2,"CLB1, CLB2, CLN1, CLN2",1
PD,yeast,3,ATP6V1A,VMA1,4
PD,yeast,3,TAF6L,TAF6,1
PD,yeast,3,AQP2,"AQY1, FPS1",2
PD,yeast,3,PFKM,PFK2,1
PD,yeast,3,ATXN2,PBP1,2
PD,yeast,3,KIF11,CIN8,1
PD,yeast,3,PPP6R3,"SAP155, SAP190, SAP4",1
PD,yeast,3,SIRT2,HST2,3
PD,yeast,3,DNAJB1,HLJ1,1
PD,yeast,3,HSPA2,"SSB1, SSB2",24
PD,yeast,3,RAD23A,RAD23,1
PD,yeast,3,NPEPPS,APE2,1
PD,yeast,3,PRODH,PUT1,1
PD,yeast,3,RUVBL2,RVB2,15
PD,yeast,3,SMC3,SMC3,1
PD,yeast,3,DNAJC2,ZUO1,2
PD,yeast,3,SF3B3,"CFT1, RSE1",1
PD,yeast,3,NMNAT3,"NMA1, NMA2",1
PD,yeast,3,PHGDH,SER3,1
PD,yeast,3,RPAP1,RBA50,1
PD,yeast,3,PSMD4,RPN10,12
PD,yeast,3,HCFC2,MDS3,1
PD,yeast,3,CPOX,HEM13,1
PD,yeast,3,PPP6C,SIT4,1
PD,yeast,3,FH,FUM1,3
PD,yeast,3,LRP2BP,"HRD3, SKT5",2
PD,yeast,3,PPP6R1,"SAP155, SAP190, SAP4",1
PD,yeast,3,PPA1,IPP1,1
PD,yeast,3,CAD,URA2,2
PD,yeast,3,CSNK1E,"YCK1, YCK2, YCK3",4
PD,yeast,3,SUGT1,TOM70,1
PD,yeast,4,SIK1,"FRK1, KIN2, KKQ8, NPR1, PTK2, VHS1",6
PD,yeast,4,VDAC1,POR1,7
PD,yeast,4,PSMD1,RPN2,3
PD,yeast,4,LSM14B,SCD6,2
PD,yeast,4,SAMM50,SAM50,13
PD,yeast,4,TOMM20,TOM20,1
PD,yeast,4,AHSA1,AHA1,3
PD,yeast,4,PDK1,PKP2,2
PD,yeast,4,IRAK1,ALK2,1
PD,yeast,4,PFKP,PFK2,1
PD,yeast,4,MAPKAP1,AVO1,1
PD,yeast,4,PSMD3,RPN3,2
PD,yeast,4,MAPK14,"KDX1, SLT2",211
PD,yeast,4,LATS1,DBF2,1
PD,yeast,4,MAPK4,"KDX1, SKY1, SLT2",211
PD,yeast,4,CLUH,CLU1,6
PD,yeast,4,POLDIP2,SMI1,1
PD,yeast,4,FAF1,UBX3,1
PD,yeast,4,HSPA6,"LHS1, SSE1, SSE2",219
PD,yeast,4,PDPK1,PKH1,1
PD,yeast,4,HSP90AA1,"HSC82, HSP82",22
PD,yeast,4,MRPL4,YML6,2
PD,yeast,4,BECN1,VPS30,1
PD,yeast,4,IWS1,SPN1,1
PD,yeast,4,TOMM40,TOM40,1
PD,yeast,4,CDC37,CDC37,1
PD,yeast,5,PRPF40A,PRP40,1
PD,yeast,5,HIP1,SLA2,1
PD,yeast,5,PRPF40B,PRP40,1
PD,yeast,5,HMOX1,HMX1,8
PD,yeast,5,PIAS1,SIZ1,1
PD,yeast,5,CDC20B,CDC20,1
PD,yeast,5,TAB1,PTC5,3
PD,yeast,5,TRIP10,BZZ1,2
PD,yeast,5,ZDHHC17,AKR1,1
PD,yeast,5,FBXO42,MDS3,1
PD,yeast,5,PIAS4,SIZ1,1
PD,yeast,6,POLG,MIP1,17
PD,yeast,6,CS,CIT1,1
PD,yeast,6,RANBP10,VID30,8
PD,yeast,6,GID4,VID24,9
PD,yeast,6,UQCRC1,QCR2,2
PD,yeast,6,SDHB,SDH2,1
PD,yeast,6,LONP1,PIM1,5
PD,yeast,6,IMMP2L,IMP2,2
PD,yeast,6,POLG2,GRS1,2
PD,yeast,6,MDH2,MDH2,1
PD,yeast,6,TFB1M,DIM1,1
PD,yeast,6,MAEA,FYV10,1
PD,yeast,6,MTG2,MTG2,2
PD,yeast,6,PDHA1,PDA1,3
PD,yeast,6,STUB1,TOM70,1
PD,yeast,6,TSPYL6,"NAP1, VPS75",3
PD,yeast,6,C1QBP,MAM33,1
PD,yeast,7,MRPS15,MRPS28,1
PD,yeast,7,NOC2L,NOC2,3
PD,yeast,7,TAF9B,TAF9,1
PD,yeast,7,BYSL,ENP1,5
PD,yeast,7,EIF5A,HYP2,2
PD,yeast,7,SRPK2,"KDX1, SKY1, SLT2",211
PD,yeast,7,HIRA,"HIR1, HIR2",1
PD,yeast,7,PSMC5,RPT6,1
PD,yeast,7,POLR2A,RPO21,6
PD,yeast,7,WDR18,IPI3,2
PD,yeast,7,CPSF1,"CFT1, RSE1",1
PD,yeast,7,SRP54,SRP54,5
PD,yeast,7,COPS2,RPN6,1
PD,yeast,7,CCND3,"CLB1, CLB2, CLN1, CLN2",1
PD,yeast,7,REXO4,REX4,2
PD,yeast,7,NGDN,LCP5,1
PD,yeast,7,DNTTIP2,FCF2,1
PD,yeast,7,RAN,GSP1,4
PD,yeast,7,MRPS2,MRP4,2
PD,yeast,8,RPS11,RPS11A,2
PD,yeast,8,DDX27,DRS1,3
PD,yeast,8,RPL6,"RPL6A, RPL6B",226
PD,yeast,8,RPL14,"RPL14A, RPL14B",217
PD,yeast,8,RPL18,"RPL18A, RPL18B",5
PD,yeast,8,RPL17,"RPL17A, RPL17B",5
PD,yeast,8,MRPL10,MRPL11,3
PD,yeast,8,RPL13A,"RPL16A, RPL16B",8
PD,yeast,8,RPS29,"RPS29A, RPS29B",3
PD,yeast,8,RPS7,"RPS7A, RPS7B",10
PD,yeast,8,MRPL3,MRPL9,2
PD,yeast,8,DUS2,SMM1,1
PD,yeast,8,RPS8,"RPS8A, RPS8B",639
PD,yeast,8,MRPL28,MRPL24,2
PD,yeast,8,RPSA,"RPS0A, RPS0B",10
PD,yeast,8,CEBPZ,MAK21,1
PD,yeast,8,RPF1,RPF1,3
PD,yeast,8,RPS14,RPS14A,13
PD,yeast,8,RPS25,"RPS25A, RPS25B",2
PD,yeast,8,RPL27,"RPL27A, RPL27B",8
PD,yeast,8,NFX1,FAP1,4
PD,yeast,8,RPS15A,RPS22A,11
PD,yeast,8,MRPS9,MRPS9,1
PD,yeast,8,G3BP1,BRE5,10
PD,yeast,8,RPF2,RPF2,10
PD,yeast,8,RPS12,RPS12,11
PD,yeast,8,KRR1,KRR1,6
PD,yeast,8,RPL7,"RPL7A, RPL7B",4
PD,yeast,8,MRPL2,RML2,2
PD,yeast,8,RPL31,"RPL31A, RPL31B",11
PD,yeast,8,RPL35,RPL35A,1
PD,yeast,8,MYBBP1A,POL5,1
PD,yeast,8,RPS6KB2,"FPK1, KIN82",2
PD,yeast,8,RPS26,"RPS26A, RPS26B",2
PD,yeast,8,GTPBP4,NOG1,1
PD,yeast,8,RPL9,RPL9A,5
PD,yeast,8,RPL4,"RPL4A, RPL4B",7
PD,yeast,8,RPL3L,RPL3,5
PD,yeast,8,MRPL43,MRPL51,1
PD,yeast,8,DAP3,RSM23,2
PD,yeast,8,PPP2R5A,RTS1,1
PD,yeast,8,MRPL32,MRPL32,1
PD,yeast,8,EIF2S1,SUI2,1
PD,yeast,8,RPS6,"RPS6A, RPS6B",5
PD,yeast,8,RPL29,RPL29,1
PD,yeast,8,MRPS7,RSM7,1
PD,yeast,8,PPIG,"CPR1, CPR3",3
PD,yeast,8,NOP56,NOP56,1
PD,yeast,8,MRPL47,MRPL4,2
PD,yeast,8,RPL23,"RPL23A, RPL23B",3
PD,yeast,8,DDX24,MAK5,2
PD,yeast,8,NOC3L,NOC3,1
PD,yeast,8,RPL24,"RPL24A, RPL24B",5
PD,yeast,8,MRPL23,MRP20,3
PD,yeast,8,RSL1D1,"RPL8A, RPL8B",5
PD,yeast,8,RPL26,"RPL26A, RPL26B",11
PD,yeast,8,RPS18,"RPS18A, RPS18B",11
PD,yeast,8,DDX54,DBP10,19
PD,yeast,8,RBM28,WHI3,6
PD,yeast,8,RPL5,RPL5,5
PD,yeast,8,MRPL22,MRPL22,1
PD,yeast,8,MRPS35,RSM24,2
PD,yeast,8,RPL35A,RPL33A,6
PD,yeast,8,CCNF,"CLB1, CLB2, CLN1, CLN2",1
PD,yeast,8,TSR1,TSR1,2
PD,yeast,8,XRN2,RAT1,4
PD,yeast,8,RPL32,RPL32,7
PD,yeast,8,RPL13,"RPL13A, RPL13B",3
PD,yeast,8,RPLP0,RPP0,5
PD,yeast,8,RPS28,RPS28A,1
PD,yeast,8,RPL15,"RPL15A, RPL15B",5
PD,yeast,8,BRIX1,BRX1,2
PD,yeast,8,DDX10,HCA4,3
PD,yeast,8,DRG1,RBG1,3
PD,yeast,8,RPLP2,"RPP2A, RPP2B",4
PD,yeast,8,RPS9,"RPS9A, RPS9B",6
PD,yeast,8,RIOK1,RIO1,6
PD,yeast,8,RPL10,RPL10,6
PD,yeast,8,RPS5,RPS5,2
PD,yeast,8,EEF1A1,GCD11,1
PD,yeast,8,RRS1,RRS1,1
PD,yeast,8,RPL12,"RPL12A, RPL12B",5
PD,yeast,8,RPL7A,"RPL8A, RPL8B",5
PD,yeast,8,RPL30,RPL30,5
PD,yeast,8,UTP23,UTP23,1
PD,yeast,8,RPS4X,"RPS4A, RPS4B",2
PD,yeast,8,MRPL16,MRPL16,1
PD,yeast,8,DKC1,CBF5,2
PD,yeast,8,RPL38,RPL38,4
PD,yeast,8,SRP68,SRP68,1
PD,yeast,8,NOP16,NOP16,1
PD,yeast,8,MRPL46,MRPL17,3
PD,yeast,8,RPS24,"RPS24A, RPS24B",2
PD,yeast,8,RPS13,RPS13,9
PD,yeast,8,TTF1,REB1,1
PD,yeast,8,RPS16,RPS16A,3
PD,yeast,8,RPL11,MRPL7,2
PD,yeast,8,NAT10,KRE33,1
PD,yeast,8,FTSJ3,SPB1,1
PD,yeast,8,RPS21,RPS21B,2
PD,yeast,8,GNL2,NOG2,3
PD,yeast,8,EIF6,TIF6,2
PD,yeast,8,RPL10L,RPL10,6
PD,yeast,8,NOP2,NOP2,3
PD,yeast,8,RPL8,"RPL2A, RPL2B",6
PD,yeast,8,MRPL17,MRPL8,2
PD,yeast,8,EBNA1BP2,EBP2,1
PD,yeast,8,NOL10,ENP2,1
PD,yeast,8,MRPL15,MRPL10,1
PD,yeast,8,RPL18A,RPL20A,5
PD,yeast,8,PTEN,TEP1,1
PD,yeast,8,RPS17,"RPS17A, RPS17B",7
PD,yeast,8,RPL27A,RPL28,3
PD,yeast,8,DDX56,DBP9,2
PD,yeast,8,RPS23,RPS23A,2
PD,yeast,8,MRPS5,MRPS5,2
PD,yeast,8,RPS20,RPS20,9
PD,yeast,8,MRPL11,MRPL19,1
PD,yeast,8,RPS3,RPS3,13
PD,yeast,8,CCNA2,"CLB1, CLB2, CLN1, CLN2",1
PD,yeast,8,RPS2,RPS2,11
PD,yeast,8,CNBP,GIS2,15
PD,yeast,8,ZCCHC7,AIR1,1
PD,yeast,8,NOL12,RRP17,3
PD,yeast,8,RPL19,"RPL19A, RPL19B",5
PD,yeast,8,RBM19,MRD1,1
PD,yeast,8,RPL3,RPL3,5
PD,yeast,8,RPLP1,"RPP1A, RPP2A, RPP2B",4
PD,yeast,8,OTUD6B,OTU2,3
PD,yeast,8,RPL21,"RPL21A, RPL21B",5
PD,yeast,8,DDX52,ROK1,1
PD,yeast,8,RPL26L1,"RPL26A, RPL26B",11
PD,yeast,9,MAPK6,"KDX1, SKY1, SLT2",211
PD,yeast,9,VPS26A,PEP8,1
PD,yeast,9,TPP2,PRB1,1
PD,yeast,9,GSTO2,"CAM1, TEF4",140
PD,yeast,9,MCTS1,TMA20,1
PD,yeast,9,NAA15,NAT1,2
PD,yeast,9,MAP2K1,"MKK1, MKK2",2
PD,yeast,9,UPF1,NAM7,2
PD,yeast,9,VPS26B,PEP8,1
PD,yeast,9,USO1,USO1,2
PD,yeast,9,EIF4G2,"TIF4631, TIF4632",7
PD,yeast,9,LETM1,"MDM38, YLH47",1
PD,yeast,9,MCM7,MCM7,1
PD,yeast,9,DIS3,DIS3,1
PD,yeast,9,ZMPSTE24,STE24,2
PD,yeast,9,VPS29,VPS29,1
PD,yeast,9,ETF1,SUP45,2
PD,yeast,9,VRK1,"HRR25, YCK1, YCK2, YCK3",4
PD,yeast,9,SLC18A2,"TPO2, TPO3",59
PD,yeast,9,MRM1,MRM1,1
PD,yeast,9,DDX31,DBP7,2
PD,yeast,9,PPID,CPR6,4
PD,yeast,9,ANKFY1,SPT23,1
PD,yeast,9,TTC4,TOM70,1
PD,yeast,9,ADK,ADO1,2
PD,yeast,9,EEF1A2,GCD11,1
PD,yeast,9,HDLBP,SCP160,10
PD,yeast,9,SBDS,SDO1,1
PD,yeast,9,VPS35,VPS35,54
PD,yeast,9,CCNYL1,SIP3,1
PD,yeast,9,CSTF3,RNA14,1
PD,yeast,10,BCAT1,"BAT1, BAT2",3
PD,yeast,10,PRDX6,PRX1,1
PD,yeast,10,PSMB7,PRE3,1
PD,yeast,10,OMA1,OMA1,1
PD,yeast,10,SKP1,SKP1,4
PD,yeast,10,PYCR1,PRO3,2
PD,yeast,10,HSPA9,"ECM10, SSC1",625
PD,yeast,10,PSMA5,PUP2,1
PD,yeast,10,DNAJB12,HLJ1,1
PD,yeast,10,ENO1,"ENO1, ENO2, ERR1, ERR2, ERR3",232
PD,yeast,10,PRDX3,TSA1,6
PD,yeast,10,ENO2,"ENO1, ENO2, ERR1, ERR2, ERR3",232
PD,yeast,10,PSMB9,PRE3,1
PD,yeast,10,ENO3,"ENO1, ENO2, ERR1, ERR2, ERR3",232
PD,yeast,10,ALDH1B1,"ALD2, ALD3, ALD4, ALD5, ALD6",127
PD,yeast,10,PGK1,PGK1,3
PD,yeast,10,TIMM44,TIM44,1
PD,yeast,10,GSTO1,"CAM1, TEF4",140
PD,yeast,10,PARK7,"HSP31, HSP32, HSP33, SNO4",16
PD,yeast,10,RNF20,BRE1,2
PD,yeast,10,PSMD2,RPN1,11
PD,yeast,10,ARHGDIA,RDI1,1
PD,yeast,10,ALDH1A2,"ALD2, ALD3, ALD4, ALD5, ALD6",127
PD,yeast,10,STXBP2,SEC1,1
PD,yeast,10,UBR2,UBR2,1
PD,yeast,10,HSPE1,HSP10,3
PD,yeast,10,TPI1,TPI1,6
PD,yeast,10,ATP2B4,"CCC2, ENA1, ENA2, ENA5, PMA1, PMA2",185
PD,yeast,10,PSMA2,PRE8,8
PD,yeast,10,HSPD1,HSP60,3
PD,yeast,10,AK2,ADK1,2
PD,yeast,10,COPS4,RPN5,2
PD,yeast,10,UBXN2A,SHP1,2
PD,yeast,10,SHPRH,IRC20,2
PD,yeast,10,HNRNPK,HEK2,11
PD,yeast,10,DNLZ,ZIM17,1
PD,yeast,10,PGAM1,GPM1,6
PD,yeast,10,LDHAL6A,MDH1,6
PD,yeast,10,TRAP1,"HSC82, HSP82",22
PD,yeast,10,SUCLG2,LSC2,1
PD,yeast,10,GAPDH,"TDH1, TDH2, TDH3",5
PD,yeast,10,COPS6,RPN8,1
PD,yeast,10,GRPEL1,MGE1,3
PD,yeast,10,LDHB,MDH1,6
PD,yeast,10,HSPA4,"SSE1, SSE2",219
PD,yeast,10,ALDH1A1,"ALD2, ALD3, ALD4, ALD5, ALD6",127
PD,yeast,10,MAPK8,"KDX1, SKY1, SLT2",211
PD,yeast,10,ACO2,ACO1,4
PD,yeast,10,PSMB5,PRE3,1
PD,yeast,10,ALDH2,"ALD2, ALD3, ALD4, ALD5, ALD6",127
PD,yeast,10,DNAJC19,PAM18,1
PD,yeast,10,PSMB6,PRE3,1
PD,yeast,10,PSMB2,PRE1,3
PD,yeast,10,EIF4E,CDC33,3
PD,yeast,10,PDIA3,PDI1,4
PD,yeast,10,NEDD8,RUB1,1
PD,yeast,10,NDFIP1,BSD2,1
PD,yeast,10,ALDH6A1,"ALD2, ALD3, ALD4, ALD6",127
PD,yeast,10,COPS3,RPN3,2
PD,yeast,10,PSMA7,PRE3,1
PD,yeast,10,DSTN,COF1,4
PD,yeast,12,PIAS2,SIZ1,1
PD,yeast,12,ALDH3B1,"ALD2, ALD3, ALD4, ALD5, ALD6, HFD1",127
PD,yeast,12,UBR1,UBR2,1
PD,yeast,12,PSMC1,RPT2,1
PD,yeast,12,MAP2K4,"MKK1, MKK2",2
PD,yeast,12,NXF1,MEX67,2
PD,yeast,12,SH3YL1,YSC84,2
PD,yeast,12,UBE2I,UBC9,1
PD,yeast,12,DAB2IP,IRA2,3
PD,yeast,13,HIP1R,SLA2,1
PD,yeast,13,LZTR1,MDS3,1
PD,yeast,13,GAK,SWA2,20
PD,yeast,13,AP2B1,APL6,2
PD,yeast,13,SEC16A,SEC16,1
PD,yeast,13,SORT1,"PEP1, VTH1",1
PD,yeast,13,GALT,GAL7,1
PD,yeast,13,CLTC,CHC1,6
PD,yeast,13,AMPH,"PIN3, RVS167",1
PD,yeast,13,DDB1,"CFT1, RSE1",1
PD,yeast,13,SYNJ1,"INP52, INP53",38
PD,yeast,13,SH2D1A,"INP52, INP53",38
PD,yeast,13,INF2,BNI1,2
PD,yeast,13,HSPBP1,FES1,3
PD,yeast,13,HSP90AB1,"HSC82, HSP82",22
PD,yeast,13,CCNG1,"CLB1, CLB2, CLN1, CLN2",1
PD,yeast,14,TTC1,TOM70,1
PD,yeast,14,GSPT1,GCD11,1
PD,yeast,14,IRAK2,ALK2,1
PD,yeast,14,CDC37L1,CDC37,1
PD,yeast,14,NUP98,NUP100,1
PD,yeast,14,TWF2,TWF1,1
PD,yeast,14,HSPH1,"SSE1, SSE2",219
PD,yeast,14,PIK3C3,VPS34,1
PD,yeast,14,PSMD14,RPN11,17
PD,yeast,14,UBQLN2,DSK2,1
PD,yeast,14,DNAJB8,HLJ1,1
PD,yeast,14,TOMM34,"STI1, TOM70",4
PD,yeast,14,SH2D1B,"INP52, INP53",38
PD,yeast,14,ATP1A1,"CCC2, ENA1, ENA2, ENA5, PMA1, PMA2",185
PD,yeast,14,CTPS1,URA7,4
PD,yeast,14,DNAJB14,HLJ1,1
PD,yeast,14,SRPK1,"KDX1, SKY1, SLT2",211
PD,yeast,14,MAPK7,"KDX1, SLT2",211
PD,yeast,14,CELF1,WHI3,6
PD,yeast,14,HNRNPM,"GBP2, HRB1",4
PD,yeast,14,SF1,MSL5,2
PD,yeast,14,CCT4,CCT4,1
PD,yeast,14,DDX17,DBP2,6
PD,yeast,14,YTHDF1,PHO92,1
PD,yeast,14,DNAJB2,HLJ1,1
PD,yeast,14,SORD,AST1,1
PD,yeast,14,TUFM,TUF1,4
PD,yeast,14,ATG2B,ATG2,2
PD,yeast,14,PC,PYC1,1
PD,yeast,14,SPAG1,TOM70,1
PD,yeast,14,DNAJB5,HLJ1,1
PD,yeast,14,INSIG2,NSG1,2
PD,yeast,14,HSPA1L,"LHS1, SSE1, SSE2",219
PD,yeast,14,TALDO1,"NQM1, TAL1",73
PD,yeast,14,ST13,TOM70,1
PD,yeast,14,CDK9,SGV1,3
PD,yeast,14,HSPA1A,"SSE1, SSE2",219
PD,yeast,14,EEF2,"EFT1, EFT2",4
PD,yeast,14,PSMD11,RPN6,1
PD,yeast,14,LDHA,MDH1,6
PD,yeast,15,KAT5,ESA1,1
PD,yeast,15,RPS6KA5,"FPK1, KIN82",2
PD,yeast,15,CDK1,CDC28,8
PD,yeast,16,AAK1,PRK1,1
PD,yeast,16,MFSD8,"ARN1, QDR2",1
PD,yeast,16,ATP13A2,"CCC2, ENA1, ENA2, ENA5, PMA1, PMA2, PMR1, YPK9",185
PD,yeast,17,GGA2,"GGA1, GGA2, HSE1",1
PD,yeast,17,PPM1A,PTC5,3
PD,yeast,17,STT3B,STT3,1
PD,yeast,17,DDOST,WBP1,3
PD,yeast,17,HMGCR,"HMG1, HMG2",83
PD,yeast,17,PRDX4,TSA1,6
PD,yeast,17,SDF2L1,PMT1,4
PD,yeast,17,SEC61A1,"SEC61, SSH1",19
PD,yeast,17,HMGCLL1,"LEU4, LEU9",2
PD,yeast,17,ABCE1,RLI1,2
PD,yeast,17,SLC38A2,"AVT1, AVT4, AVT5, AVT6",42
PD,yeast,17,INPPL1,"INP52, INP53",38
PD,yeast,17,HYOU1,LHS1,2
PD,yeast,17,PHB2,PHB2,2
PD,yeast,17,ATG9A,ATG9,6
PD,yeast,17,HSP90B1,"HSC82, HSP82",22
PD,yeast,17,CDC42,CDC42,1
PD,yeast,17,GGA1,"GGA1, GGA2, HSE1",1
PD,yeast,17,CLTCL1,CHC1,6
PD,yeast,17,GGA3,"GGA1, GGA2, HSE1",1
PD,yeast,17,INSIG1,NSG1,2
PD,yeast,17,HSPA4L,"SSE1, SSE2",219
PD,yeast,17,RICTOR,TSC11,1
PD,yeast,17,RASA1,IRA2,3
PD,yeast,17,SYVN1,HRD1,4
PD,yeast,17,RMND1,"RMD1, RMD8",2
PD,yeast,17,P4HB,PDI1,4
PD,yeast,17,HSPA1B,"SSE1, SSE2",219
PD,yeast,17,VAPB,SCS2,3
PD,yeast,17,TMX1,PDI1,4
PD,yeast,17,VAPA,SCS2,3
PD,yeast,17,SLC30A6,"MMT1, MMT2",15
PD,yeast,17,VPS13C,VPS13,65
PD,yeast,17,SLC30A5,"MMT1, MMT2",15
PD,yeast,18,RPS6KA1,"FPK1, KIN82",2
PD,yeast,18,ATF2,"CST6, SKO1",1
PD,yeast,18,ABCB1,"MDL1, MDL2",19
PD,yeast,18,RPS6KA6,"FPK1, KIN82",2
PD,yeast,18,RPS6KA3,"FPK1, KIN82",2
PD,yeast,18,PSMB8,PRE3,1
PD,yeast,18,MAP2K2,"MKK1, MKK2",2
PD,yeast,18,FBP2,FBP1,42
PD,yeast,18,LTN1,RKR1,3
PD,yeast,18,ME1,MAE1,2
PD,yeast,18,RPS6KA4,"FPK1, KIN82",2
PD,yeast,18,RPS6KA2,"FPK1, KIN82",2
PD,yeast,18,FBP1,FBP1,42
PD,yeast,18,MAPK3,"KDX1, SKY1, SLT2",211
PD,yeast,18,MAPK1,"KDX1, SLT2",211
PD,yeast,18,BIN1,"PIN3, RVS167",1
PD,yeast,18,RPTOR,KOG1,4
PD,yeast,18,USP7,UBP14,2
PD,yeast,18,MKNK1,NNK1,1
PD,yeast,20,POMT2,PMT2,3
PD,yeast,20,SQLE,ERG1,1
PD,yeast,20,EIF2AK3,GCN2,4
PD,yeast,21,YKT6,YKT6,1
PD,yeast,21,RUVBL1,RVB1,13
PD,yeast,21,PPP2CB,PPH22,1
PD,yeast,21,CSNK2A1,CKA2,1
PD,yeast,21,ARPP19,IGO1,1
PD,yeast,21,HGS,"GGA1, GGA2",1
PD,yeast,21,ENSA,IGO1,1
PD,yeast,21,MAPK9,"KDX1, SKY1, SLT2",211
PD,yeast,21,SNRK,"FRK1, KIN2, KKQ8, NPR1, PTK2, VHS1",6
PD,yeast,21,PSMC2,RPT1,3
PD,yeast,21,RPS6KB1,"FPK1, KIN82",2
PD,yeast,21,SGK1,DBF2,1
PD,yeast,21,RAB3IL1,SEC2,1
PD,yeast,21,PPP1CC,PPZ1,1
PD,yeast,21,PPP1CA,PPZ1,1
PD,yeast,21,ATP6V1H,VMA13,2
PD,yeast,21,DCP2,DCP2,1
PD,yeast,21,G3BP2,BRE5,10
PD,yeast,21,RAB3IP,SEC2,1
PD,yeast,21,PPP1CB,PPH22,1
PD,yeast,21,STXBP3,SEC1,1
PD,yeast,21,EEF1D,EFB1,3
PD,yeast,21,PPIB,"CPR1, CPR3",3
PD,yeast,21,BRSK1,"FRK1, KIN2, KKQ8, NPR1, PTK2, VHS1",6
PD,yeast,21,UBA52,"RPL40A, RPL40B",2
PD,yeast,21,PRPS1,"PRS2, PRS3, PRS4",3
PD,yeast,21,Atp6v0a1,"STV1, VPH1",4
