ei	N CTs	N variants g	N PMIDs Chemicals	Gene	pLI	Gene Full Name	First Ref.	Last Ref.	N Chemicals	N PMIDs	score	N diseases g	My Score	DSI g	DPI g	N variants gda
1.0	0	4	0	CASP7	6.3709E-6	caspase 7			0	0	0.65	8		0.57	0.79	0
1.0	0	323	0	ABAT	1.1435E-10	4-aminobutyrate aminotransferase			0	0	0.65	11		0.59	0.83	0
1.0	0	0	0	NEFM	0.85863	neurofilament medium chain			0	0	0.65	6		0.61	0.75	0
1.0	0	64	0	PCK1	6.2994E-13	phosphoenolpyruvate carboxykinase 1			0	0	0.65	11		0.53	0.83	0
1.0	0	4	0	PGRMC1		progesterone receptor membrane component 1	2014	2014	0	1	0.6	5		0.57	0.79	0
1.0	0	256	0	CHRNB2	1.6546E-9	cholinergic receptor nicotinic beta 2 subunit	2007	2007	0	1	0.6	24		0.6	0.54	0
1.0	0	39	0	SLC30A6	8.3119E-7	solute carrier family 30 member 6	2006	2006	0	1	0.6	1		0.72	0.46	0
1.0	0	0	0	SLC30A4	0.65428	solute carrier family 30 member 4	2006	2006	0	1	0.6	2		0.71	0.67	0
0.75	0	0	0	MIR375		microRNA 375	2015	2015	0	1	0.6	4		0.49	0.83	0
1.0	0	50	0	TPI1	0.87357	triosephosphate isomerase 1	2009	2009	0	1	0.6	19		0.54	0.83	0
1.0	0	1	0	MIR100		microRNA 100	2015	2015	0	1	0.6	9		0.53	0.79	0
1.0	0	46	0	PNMT	9.0249E-9	phenylethanolamine N-methyltransferase			0	0	0.6	3		0.64	0.75	0
0.3333333333333333	0	2	0	GSTO2	1.0241E-5	glutathione S-transferase omega 2			0	0	0.6	5		0.6	0.71	0
0.6666666666666666	0	6	0	GRIN2C	1.1793E-19	glutamate ionotropic receptor NMDA type subunit 2C			0	0	0.6	3		0.62	0.75	0
1.0	0	5	0	APBB2	0.59906	amyloid beta precursor protein binding family B member 2			0	0	0.6	3		0.7	0.71	0
1.0	0	514	0	KCNMA1	1.0	potassium calcium-activated channel subfamily M alpha 1			0	0	0.6	25		0.49	0.88	0
1.0	0	3	0	ADRB3	2.7754E-16	adrenoceptor beta 3			0	0	0.6	24		0.52	0.79	0
1.0	0	251	0	PIK3R1	1.0	phosphoinositide-3-kinase regulatory subunit 1			0	0	0.6	34		0.45	0.88	0
1.0	0	19	0	UNC13C	2.2317E-34	unc-13 homolog C	1993	2020	0	6	0.55	6		0.67	0.63	1
1.0	0	190	0	ND1		NADH dehydrogenase subunit 1	1993	2020	0	6	0.55	66		0.49	0.79	1
1.0	0	5	0	GAPDHS	3.3358E-10	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	2007	2007	0	1	0.55	2		0.77	0.46	0
1.0	0	13	0	IQCK		IQ motif containing K	2019	2019	0	1	0.55	1		0.74	0.42	1
1.0	0	20	0	NCK2	0.022794	NCK adaptor protein 2	2021	2021	0	1	0.55	4		0.63	0.79	1
1.0	0	12	0	CCDC6	0.88994	coiled-coil domain containing 6	2021	2021	0	1	0.5	3		0.57	0.63	0
1.0	0	123	0	PYY	2.0343E-5	peptide YY	2001	2001	0	1	0.5	10		0.52	0.79	0
1.0	0	0	0	APP-DT		APP divergent transcript	1993	2020	0	5	0.45	1		0.83	0.13	0
1.0	0	35	0	SPRED2	1.5939E-15	sprouty related EVH1 domain containing 2	2021	2021	0	1	0.45	6		0.55	0.83	2
1.0	0	236	0	NCF2	7.901E-10	neutrophil cytosolic factor 2			0	0	0.45	4		0.54	0.75	0
1.0	0	118	0	GSS	1.7585E-6	glutathione synthetase			0	0	0.45	11		0.62	0.79	0
1.0	0	12	0	XRN1	1.0	5'-3' exoribonuclease 1			0	0	0.45	2		0.68	0.63	0
1.0	0	0	0	LOC126653330		CDK7 strongly-dependent group 2 enhancer GRCh37_chr21:27326978-27328177	1993	2020	0	7	0.4	2		0.94	0.08	0
1.0	0	78	0	HFE-AS1		HFE antisense RNA 1	1993	2020	0	5	0.4	11		0.8	0.38	2
1.0	0	2	0	MIR296		microRNA 296	2015	2015	0	1	0.4	2		0.61	0.71	0
1.0	0	1	0	MIR708		microRNA 708	2015	2015	0	1	0.4	2		0.72	0.5	0
